_dataset,_file,model,trial,n_cases,score_mean,score_sd_cases,hallucination_rate,empty_rate,e2e_median_ms,e2e_p90_ms,ttft_median_ms,temperature,num_ctx,num_predict,top_p,repeat_penalty,nonhall_n,nonhall_score_mean,nonhall_score_sd_cases,pred_score_from_decomposition,decomposition_abs_error
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,14,20,0.8949299999999999,0.09430615373123291,0.0,0.0,31354.9,41127.91,27448.6,0.11546798653341919,1024,140,0.8863780474554669,1.112574933940161,20.0,0.8949299999999999,0.09430615373123291,0.8949299999999999,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,15,20,0.8469200000000001,0.22461464684865803,0.05,0.0,31592.1,40977.810000000005,27436.3,0.5571022121009495,4096,116,0.9212434222309479,1.01080090750977,19.0,0.8914947368421053,0.10634282336797037,0.84692,1.1102230246251565e-16
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,16,20,0.8956899999999999,0.0947749128475629,0.0,0.0,30873.300000000003,38818.91,26984.699999999997,0.1980434446303354,4096,141,0.9482740676158945,1.099128358793843,20.0,0.8956899999999999,0.0947749128475629,0.8956899999999999,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,17,20,0.88818,0.0952911030253584,0.0,0.0,31777.199999999997,41199.35,27463.25,0.7995537070490861,1024,148,0.9515653688838619,1.1291451052852102,20.0,0.88818,0.0952911030253584,0.88818,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,18,20,0.8482899999999999,0.22495918436814033,0.05,0.0,30911.15,38616.14000000001,26991.05,0.3746816882303001,1024,111,0.9878692113698322,1.0994267813347647,19.0,0.892936842105263,0.10647291366835625,0.8482899999999999,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,19,20,0.8966049999999999,0.09490235133796046,0.0,0.0,31483.85,41119.71,27422.85,0.2929380194165226,4096,130,0.9500934808209532,1.1322451981133785,20.0,0.8966049999999999,0.09490235133796046,0.8966049999999999,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,20,20,0.8931549999999999,0.10337943639051747,0.0,0.0,31201.6,38679.72,26948.65,0.4211636460160517,4096,129,0.9552121365094608,1.1115209559066836,20.0,0.8931549999999999,0.10337943639051747,0.8931549999999999,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,21,20,0.85286,0.22241217403257119,0.05,0.0,30970.0,38280.270000000004,26921.0,0.2868326264528869,4096,104,0.9680459500407658,1.126792602464887,19.0,0.8977473684210525,0.09838233450518467,0.8528599999999998,1.1102230246251565e-16
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,22,20,0.895735,0.09477099420236797,0.0,0.0,30988.449999999997,38302.4,26991.3,0.20530894818538184,4096,152,0.9370577898905197,1.1363594060463276,20.0,0.895735,0.09477099420236797,0.895735,0.0
results-selected-9.05,gemma3_4b_20260509_171752.jsonl,gemma3:4b,23,20,0.8961600000000001,0.09495442341626743,0.0,0.0,30880.6,38717.53,27003.7,0.17140066441393356,4096,148,0.9432971456343188,1.0965167866799055,20.0,0.8961600000000001,0.09495442341626743,0.8961600000000001,0.0
