_dataset,_file,model,trial,n_cases,score_mean,score_sd_cases,hallucination_rate,empty_rate,e2e_median_ms,e2e_p90_ms,ttft_median_ms,temperature,num_ctx,num_predict,top_p,repeat_penalty,nonhall_n,nonhall_score_mean,nonhall_score_sd_cases,pred_score_from_decomposition,decomposition_abs_error
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,9,20,0.76244,0.3434987265739056,0.15,0.0,21982.550000000003,26547.82,17945.35,0.16194475143634365,4096,91,0.8515563160370403,1.1243106263727893,17.0,0.8969882352941176,0.10901175327890646,0.76244,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,10,20,0.808305,0.2936312572544723,0.1,0.0,20806.0,27353.73,17893.85,0.34972732868551254,2048,138,0.8141646222991565,1.1480330404900776,18.0,0.8981166666666667,0.10467389275043419,0.808305,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,11,20,0.8059049999999999,0.2929385160476692,0.1,0.0,20441.0,25022.270000000004,17677.85,0.5470224357023625,2048,48,0.9814775175179065,1.1109001522053024,18.0,0.8954499999999999,0.10492328990603512,0.8059049999999999,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,12,20,0.71037,0.38022873046849603,0.2,0.0,22498.449999999997,29542.24,17681.6,0.4456849910817559,2048,124,0.9414855708956398,1.1496551491259175,16.0,0.8879625,0.12214095068130644,0.7103700000000001,1.1102230246251565e-16
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,13,20,0.6774549999999999,0.41341865804023586,0.25,0.0,20724.75,27306.53,17646.85,0.35285442277736756,2048,122,0.8782549404485988,1.1127719986115796,15.0,0.9032733333333333,0.11580450562827649,0.6774549999999999,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,14,20,0.722375,0.3827714377440296,0.2,0.0,20974.65,26904.899999999998,17589.4,0.5584310609302766,2048,114,0.803019279893161,1.1332225639572429,16.0,0.90296875,0.1079003535289235,0.722375,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,15,20,0.70966,0.3857024356185805,0.2,0.0,20737.05,25144.800000000003,17623.4,0.3636623205739308,2048,75,0.9285954310381669,1.0521450145744875,16.0,0.887075,0.1434048883406699,0.70966,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,16,20,0.76205,0.3427794219396246,0.15,0.0,20550.2,25921.210000000003,17564.75,0.5577987094229263,2048,58,0.9865314852884329,1.1488028007239546,17.0,0.8965294117647059,0.10690421977584588,0.76205,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,17,20,0.6375149999999999,0.43816258491088617,0.3,0.0,20835.4,27034.1,17699.05,0.7995537070490861,2048,140,0.8797792502053563,1.1045994088516176,14.0,0.9107357142857142,0.11235126651672464,0.6375149999999999,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,18,20,0.76379,0.34450954596811667,0.15,0.0,21316.05,27646.2,17634.199999999997,0.42438777448111265,2048,108,0.9588194813600416,1.1271410669729032,17.0,0.8985764705882353,0.11070189434587244,0.76379,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,19,20,0.710665,0.3824034577511035,0.2,0.0,20836.3,26918.53,17642.199999999997,0.3091453046740158,2048,130,0.8731439015932535,1.0583291689363508,16.0,0.88833125,0.1299209950636668,0.7106650000000001,1.1102230246251565e-16
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,20,20,0.72014,0.38411065346493994,0.2,0.0,20819.0,25146.49,17993.35,0.4974598972790332,1024,75,0.8020879459563166,1.097042056849219,16.0,0.900175,0.1183978575256608,0.72014,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,21,20,0.67066,0.4136817558920078,0.25,0.0,21738.75,25343.58,17866.550000000003,0.6531958925126808,2048,159,0.9103832059639699,1.1196499251415093,15.0,0.8942133333333333,0.13441772240012878,0.67066,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,22,20,0.756605,0.3433736961924167,0.15,0.0,20140.2,25025.910000000003,17633.9,0.5476279263896145,2048,48,0.9816469269791691,1.1373598217597682,17.0,0.8901235294117646,0.11720406098665997,0.756605,0.0
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,23,20,0.761935,0.34125768512649607,0.15,0.0,20263.9,26560.18,17610.65,0.4845349046427942,2048,49,0.9685809272072862,1.1104003305573764,17.0,0.8963941176470588,0.10114877329080812,0.7619349999999999,1.1102230246251565e-16
results-selected-9.05,gemma2_2b_20260509_225356.jsonl,gemma2:2b,24,20,0.72022,0.3823434218219614,0.2,0.0,20543.75,26709.320000000003,17609.85,0.5889553953180421,2048,61,0.9512167142843766,1.1456093099353748,16.0,0.9002749999999999,0.11074267771129011,0.72022,0.0
